DATAFLOW,LAST UPDATE,freq,age,indic_se,sex,sizeclas,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,FI,2014,3132,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,FR,2014,2479,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,HR,2014,1150,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,HU,2014,732,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,IE,2014,4093,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,IS,2014,,d
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,IT,2014,2546,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,LT,2014,744,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,LU,2014,,d
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,LV,2014,758,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,ME,2014,,d
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,MK,2014,599,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,MT,2014,1803,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,NL,2014,3051,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,NO,2014,,d
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,PL,2014,973,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,PT,2014,,d
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,RO,2014,550,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,RS,2014,,d
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,SE,2014,3305,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,SI,2014,1708,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,SK,2014,882,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,TR,2014,,d
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,UK,2014,3117,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,BG,2010,407,
